DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
11-Nov-2025,EQ,"1,749.40","1,750.00","1,711.00","1,754.40","1,740.20","1,741.80","1,733.26","1,782.00","1,168.00",1659318,"2,87,60,31,063.50",46059
10-Nov-2025,EQ,"1,716.80","1,759.00","1,691.90","1,703.90","1,754.90","1,754.40","1,740.70","1,782.00","1,168.00",1647003,"2,86,69,38,525.90",55900
07-Nov-2025,EQ,"1,665.50","1,715.00","1,644.60","1,683.40","1,699.80","1,703.90","1,688.26","1,782.00","1,168.00",2353603,"3,97,34,88,606.70",109251
06-Nov-2025,EQ,"1,744.10","1,751.20","1,653.40","1,745.90","1,675.00","1,683.40","1,698.07","1,782.00","1,168.00",2300974,"3,90,72,11,755.20",118019
04-Nov-2025,EQ,"1,720.00","1,777.00","1,718.00","1,718.50","1,750.00","1,745.90","1,737.28","1,782.00","1,168.00",1886397,"3,27,72,05,122.80",72192
03-Nov-2025,EQ,"1,697.90","1,747.40","1,697.90","1,696.80","1,717.10","1,718.50","1,725.91","1,782.00","1,168.00",1170459,"2,02,01,07,385.20",62097
31-Oct-2025,EQ,"1,717.10","1,725.20","1,692.20","1,711.80","1,701.00","1,696.80","1,706.91","1,782.00","1,168.00",1093387,"1,86,63,08,158.30",42602
30-Oct-2025,EQ,"1,719.90","1,723.80","1,700.00","1,710.40","1,712.00","1,711.80","1,709.36","1,782.00","1,168.00",654163,"1,11,81,99,831.00",35945
29-Oct-2025,EQ,"1,720.00","1,725.80","1,686.10","1,723.20","1,710.30","1,710.40","1,700.77","1,782.00","1,168.00",2012855,"3,42,33,96,567.50",56446
28-Oct-2025,EQ,"1,732.40","1,743.60","1,711.00","1,732.40","1,729.00","1,723.20","1,723.64","1,782.00","1,168.00",2017814,"3,47,79,80,053.80",65644
27-Oct-2025,EQ,"1,747.20","1,782.00","1,722.60","1,733.60","1,726.70","1,732.40","1,745.95","1,782.00","1,168.00",2981176,"5,20,49,78,361.70",75419
24-Oct-2025,EQ,"1,685.00","1,752.70","1,678.10","1,684.70","1,747.40","1,733.60","1,721.42","1,752.70","1,168.00",2128154,"3,66,34,38,343.50",73248
23-Oct-2025,EQ,"1,676.60","1,695.10","1,672.90","1,670.30","1,683.00","1,684.70","1,683.35","1,708.00","1,168.00",1348437,"2,26,98,92,024.90",42327
21-Oct-2025,EQ,"1,685.20","1,686.80","1,665.00","1,673.30","1,672.00","1,670.30","1,671.88","1,708.00","1,168.00",132071,"22,08,06,593.80",6684
20-Oct-2025,EQ,"1,661.00","1,675.50","1,654.00","1,654.30","1,675.00","1,673.30","1,668.77","1,708.00","1,168.00",715202,"1,19,35,10,996.20",55354
17-Oct-2025,EQ,"1,666.90","1,677.50","1,652.00","1,668.10","1,655.00","1,654.30","1,660.43","1,708.00","1,168.00",654858,"1,08,73,44,101.70",28622
16-Oct-2025,EQ,"1,698.00","1,700.10","1,653.20","1,698.40","1,664.70","1,668.10","1,668.11","1,708.00","1,168.00",3202080,"5,34,14,30,477.70",91847
15-Oct-2025,EQ,"1,649.00","1,708.00","1,648.10","1,645.70","1,705.00","1,698.40","1,683.85","1,708.00","1,168.00",2004535,"3,37,53,42,901.30",65541
14-Oct-2025,EQ,"1,652.10","1,673.00","1,639.00","1,647.20","1,650.10","1,645.70","1,651.53","1,684.40","1,168.00",1887000,"3,11,64,45,051.10",67264
13-Oct-2025,EQ,"1,614.00","1,652.60","1,609.10","1,614.20","1,643.70","1,647.20","1,633.33","1,684.40","1,168.00",1392973,"2,27,51,86,621.70",45348
10-Oct-2025,EQ,"1,623.90","1,630.90","1,609.70","1,621.40","1,615.60","1,614.20","1,621.87","1,684.40","1,168.00",451903,"73,29,28,467.70",18283
09-Oct-2025,EQ,"1,607.50","1,625.00","1,596.40","1,607.30","1,620.20","1,621.40","1,611.05","1,684.40","1,168.00",1404177,"2,26,22,03,105.30",41645
08-Oct-2025,EQ,"1,620.00","1,629.90","1,602.20","1,631.60","1,610.30","1,607.30","1,610.12","1,684.40","1,168.00",885008,"1,42,49,73,378.40",60380
07-Oct-2025,EQ,"1,634.10","1,640.00","1,609.00","1,634.10","1,626.70","1,631.60","1,625.85","1,684.40","1,168.00",1722326,"2,80,02,45,550.00",49120
06-Oct-2025,EQ,"1,571.10","1,665.00","1,570.50","1,570.90","1,646.80","1,634.10","1,609.79","1,684.40","1,168.00",1859040,"2,99,26,67,257.30",42074
03-Oct-2025,EQ,"1,607.80","1,607.80","1,557.80","1,605.30","1,572.00","1,570.90","1,570.59","1,684.40","1,168.00",1515769,"2,38,06,47,572.40",50883
